case_id,margin_level,response,persistence,policy,total_profit,total_d2c_quantity,total_retailer_quantity,final_average_order_state,average_exposure,runtime
C001,0.5,0.2,0.4,myopic,6160.68,300.0,510.00000000000006,0.9253333333333335,0.4444444444444444,0.03272310004103929
C001,0.5,0.2,0.4,lookahead,6160.68,300.0,510.0,0.9253333333333335,0.4444444444444444,0.010835299966856837
C002,0.5,0.2,0.7,myopic,6162.570000000001,300.0,510.0,0.9546666666666667,0.4444444444444444,0.006558799999766052
C002,0.5,0.2,0.7,lookahead,6162.57,300.0,510.0,0.9546666666666667,0.4444444444444444,0.01296550000552088
C003,0.5,0.2,0.9,myopic,6164.13,300.0,510.00000000000006,0.983111111111111,0.4444444444444444,0.006577500025741756
C003,0.5,0.2,0.9,lookahead,6164.129999999999,300.0,510.0,0.983111111111111,0.4444444444444444,0.01048820000141859
C004,0.5,0.4,0.4,myopic,6114.92,300.0,503.96000000000004,0.8506666666666668,0.4444444444444444,0.0064978000009432435
C004,0.5,0.4,0.4,lookahead,6115.108,299.0,505.12199999999996,0.8514666666666667,0.44333333333333336,0.010407999972812831
C005,0.5,0.4,0.7,myopic,6160.14,300.0,510.00000000000006,0.9093333333333332,0.4444444444444444,0.006486300029791892
C005,0.5,0.4,0.7,lookahead,6160.139999999999,300.0,510.0,0.9093333333333332,0.4444444444444444,0.010417600045911968
C006,0.5,0.4,0.9,myopic,6163.259999999999,300.0,510.0,0.9662222222222222,0.4444444444444444,0.006582199945114553
C006,0.5,0.4,0.9,lookahead,6163.26,300.0,510.0,0.9662222222222222,0.4444444444444444,0.010700499988161027
C007,0.5,0.6,0.4,myopic,5965.2,300.0,483.0,0.7760000000000001,0.4444444444444444,0.006507499958388507
C007,0.5,0.6,0.4,lookahead,5980.148,290.0,496.40200000000004,0.7808000000000002,0.43333333333333335,0.012933399993926287
C008,0.5,0.6,0.7,myopic,6132.47,300.0,506.28499999999997,0.8639999999999999,0.4444444444444444,0.006496200105175376
C008,0.5,0.6,0.7,lookahead,6132.47,300.0,506.28499999999997,0.8639999999999999,0.4444444444444444,0.010497600072994828
C009,0.5,0.6,0.9,myopic,6162.39,300.0,510.0,0.9493333333333333,0.4444444444444444,0.006451699999161065
C009,0.5,0.6,0.9,lookahead,6162.389999999999,300.0,510.0,0.9493333333333333,0.4444444444444444,0.010291500017046928
C010,1.0,0.2,0.4,myopic,6460.68,300.0,510.00000000000006,0.9253333333333335,0.4444444444444444,0.006463399971835315
C010,1.0,0.2,0.4,lookahead,6460.68,300.0,510.0,0.9253333333333335,0.4444444444444444,0.010249399929307401
C011,1.0,0.2,0.7,myopic,6462.570000000001,300.0,510.0,0.9546666666666667,0.4444444444444444,0.00635599996894598
C011,1.0,0.2,0.7,lookahead,6462.57,300.0,510.0,0.9546666666666667,0.4444444444444444,0.010121800005435944
C012,1.0,0.2,0.9,myopic,6464.13,300.0,510.00000000000006,0.983111111111111,0.4444444444444444,0.006302700028754771
C012,1.0,0.2,0.9,lookahead,6464.129999999999,300.0,510.0,0.983111111111111,0.4444444444444444,0.010179199976846576
C013,1.0,0.4,0.4,myopic,6414.92,300.0,503.96000000000004,0.8506666666666668,0.4444444444444444,0.00625959993340075
C013,1.0,0.4,0.4,lookahead,6414.92,300.0,503.96000000000004,0.8506666666666668,0.4444444444444444,0.010170100023970008
C014,1.0,0.4,0.7,myopic,6460.14,300.0,510.00000000000006,0.9093333333333332,0.4444444444444444,0.006345900008454919
C014,1.0,0.4,0.7,lookahead,6460.139999999999,300.0,510.0,0.9093333333333332,0.4444444444444444,0.010216400027275085
C015,1.0,0.4,0.9,myopic,6463.259999999999,300.0,510.0,0.9662222222222222,0.4444444444444444,0.0065599000081419945
C015,1.0,0.4,0.9,lookahead,6463.26,300.0,510.0,0.9662222222222222,0.4444444444444444,0.010035200044512749
C016,1.0,0.6,0.4,myopic,6265.2,300.0,483.0,0.7760000000000001,0.4444444444444444,0.006295599974691868
C016,1.0,0.6,0.4,lookahead,6270.148,290.0,496.40200000000004,0.7808000000000002,0.43333333333333335,0.012043499969877303
C017,1.0,0.6,0.7,myopic,6432.47,300.0,506.28499999999997,0.8639999999999999,0.4444444444444444,0.006426699925214052
C017,1.0,0.6,0.7,lookahead,6432.47,300.0,506.28499999999997,0.8639999999999999,0.4444444444444444,0.009966299985535443
C018,1.0,0.6,0.9,myopic,6462.39,300.0,510.0,0.9493333333333333,0.4444444444444444,0.006377800018526614
C018,1.0,0.6,0.9,lookahead,6462.389999999999,300.0,510.0,0.9493333333333333,0.4444444444444444,0.010318399989046156
C019,1.5,0.2,0.4,myopic,6760.68,300.0,510.00000000000006,0.9253333333333335,0.4444444444444444,0.006192100001499057
C019,1.5,0.2,0.4,lookahead,6760.68,300.0,510.0,0.9253333333333335,0.4444444444444444,0.010103799984790385
C020,1.5,0.2,0.7,myopic,6762.570000000001,300.0,510.0,0.9546666666666667,0.4444444444444444,0.006245699943974614
C020,1.5,0.2,0.7,lookahead,6762.57,300.0,510.0,0.9546666666666667,0.4444444444444444,0.010072699980810285
C021,1.5,0.2,0.9,myopic,6764.13,300.0,510.00000000000006,0.983111111111111,0.4444444444444444,0.00628500001039356
C021,1.5,0.2,0.9,lookahead,6764.129999999999,300.0,510.0,0.983111111111111,0.4444444444444444,0.010001499904319644
C022,1.5,0.4,0.4,myopic,6714.92,300.0,503.96000000000004,0.8506666666666668,0.4444444444444444,0.00631159998010844
C022,1.5,0.4,0.4,lookahead,6714.92,300.0,503.96000000000004,0.8506666666666668,0.4444444444444444,0.010130199952982366
C023,1.5,0.4,0.7,myopic,6760.14,300.0,510.00000000000006,0.9093333333333332,0.4444444444444444,0.006205199984833598
C023,1.5,0.4,0.7,lookahead,6760.139999999999,300.0,510.0,0.9093333333333332,0.4444444444444444,0.010186900035478175
C024,1.5,0.4,0.9,myopic,6763.259999999999,300.0,510.0,0.9662222222222222,0.4444444444444444,0.006310799974016845
C024,1.5,0.4,0.9,lookahead,6763.26,300.0,510.0,0.9662222222222222,0.4444444444444444,0.010217599919997156
C025,1.5,0.6,0.4,myopic,6565.2,300.0,483.0,0.7760000000000001,0.4444444444444444,0.0064718000357970595
C025,1.5,0.6,0.4,lookahead,6565.2,300.0,483.0,0.7760000000000001,0.4444444444444444,0.011997900088317692
C026,1.5,0.6,0.7,myopic,6732.47,300.0,506.28499999999997,0.8639999999999999,0.4444444444444444,0.005999000044539571
C026,1.5,0.6,0.7,lookahead,6732.47,300.0,506.28499999999997,0.8639999999999999,0.4444444444444444,0.009990699938498437
C027,1.5,0.6,0.9,myopic,6762.39,300.0,510.0,0.9493333333333333,0.4444444444444444,0.005842599901370704
